mmsi,imo_from_data_set,imo_from_ship_db,name_from_data_set,name_from_ship_db,iwrap_type_from_dataset,org_type_info_from_data,iwrap_type_from_ship_db,org_type_from_ship_db,length_from_data_set,length_from_ship_db,height_1,height_2,height_3,depth,width,size_a,size_b,size_c,size_d,class_b,mean_speed,mean_draught,mean_heading,mean_course,mean_ROT
219012162,7517624,0,ARNE TISELIUS,,Other ship,Not party to conflict,,,31,-1,-1,-1,-1,-1,6,6,25,3,3,0,7.549243140964996,3.585749141064583,116.14103968530598,168.55386894388286,0.0
152742672,0,0,,,Other ship,Undefined,,,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,42.2,0.0,182.0,180.7,1.1
236583000,9505314,0,ACCUM,,Other ship,Undefined,,,86,-1,-1,-1,-1,-1,12,78,8,6,6,0,9.802398887472476,4.665602425928072,161.75024143392437,162.27266967976206,0.0
220432000,0,0,DNK NAVY PATROL P521,,Other ship,Military,,,43,-1,-1,-1,-1,-1,9,24,19,3,6,0,13.527601884570082,2.4941696113074205,184.64073027090694,179.0114664310954,0.0
356301000,9682617,0,GLOMAR WAVE,,Other ship,Other,,,66,-1,-1,-1,-1,-1,14,22,44,7,7,0,4.080504700643245,4.9,265.74913409203367,248.42855022266204,0.0
219017293,0,0,,,Other ship,Undefined,,,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,27.816666666666666,0.0,218.33333333333334,275.26666666666665,1.0666666666666669
305688000,9513634,0,BBC LISBON,,Other ship,Undefined,,,130,-1,-1,-1,-1,-1,16,113,17,10,6,0,10.131334582552572,6.184426400166565,253.4316052467208,252.90447636893612,0.06918592546325215
354749000,8104541,0,TRAVEBERG,,Other ship,Undefined,,,87,-1,-1,-1,-1,-1,12,70,17,6,6,0,6.603202356041232,3.746972022010385,197.36458963031853,173.33953421684885,0.0
211909000,9245732,0,PLANET,,Other ship,Military,,,73,-1,-1,-1,-1,-1,28,24,49,14,14,0,7.521697921603141,6.772662649786742,182.08591158350822,184.80299234987476,0.0
236307000,9319430,0,MILADY,,Other ship,Undefined,,,88,-1,-1,-1,-1,-1,12,80,8,6,6,0,7.671910270997533,4.4806597623061775,178.72108764440605,176.80978929796441,0.0
373250000,8650904,0,VIVRE-G,,Other ship,Other,,,20,-1,-1,-1,-1,-1,5,10,10,3,2,0,8.508085808580859,3.7802923149457803,261.8000942951438,260.3016737388025,0.0
218303789,0,0,,,Other ship,Undefined,,,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,6.633333333333334,0.0,182.0,84.56666666666666,0.0
219022260,0,0,NICOLAJ SAJ,,Other ship,Undefined,,,27,-1,-1,-1,-1,-1,11,17,10,3,8,0,0.9573787649726713,0.0,0.0,16.949168507966046,0.0
211213750,0,0,BUSTER 8,,Other ship,Military,,,11,-1,-1,-1,-1,-1,4,4,7,2,2,0,21.44795321637427,0.0,0.0,203.76959064327488,0.0
273456410,8834691,0,PROFESSOR LOGACHEV,,Other ship,Other,,,105,-1,-1,-1,-1,-1,16,45,60,8,8,0,8.261905676073463,6.346253279580214,201.56863121520445,200.56842644141548,0.07196518845587767
253213000,9774094,0,GULLIVER,,Other ship,Other,,,108,-1,-1,-1,-1,-1,49,52,56,24,25,0,5.15185518326962,4.0,194.3912750168653,198.35581290757816,0.0
259721000,9255878,0,,,Other ship,Undefined,,,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,11.516465169833046,7.41006806867825,147.5837651122625,149.2153814893833,-0.033560228927495016
487071952,0,0,,,Other ship,Undefined,,,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,9.3,0.0,303.0,300.2,0.0
110336024,0,0,,,Other ship,Undefined,,,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,18.6,0.0,30.0,31.3,0.4
376194760,0,0,,,Other ship,Undefined,,,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,10.5,0.0,30.0,24.3,-2.9
