mmsi,imo_from_data_set,imo_from_ship_db,name_from_data_set,name_from_ship_db,iwrap_type_from_dataset,org_type_info_from_data,iwrap_type_from_ship_db,org_type_from_ship_db,length_from_data_set,length_from_ship_db,height_1,height_2,height_3,depth,width,size_a,size_b,size_c,size_d,class_b,mean_speed,mean_draught,mean_heading,mean_course,mean_ROT
244008000,9344409.0,,KARL JAKOB K,,General cargo ship,Cargo,,,90,-1,-1,-1,-1,-1,15,73.0,17.0,10.0,5.0,,8.350683326825457,5.010464662241312,230.89047247169074,241.7459390862944,
236339000,9195482.0,,RANDZEL,,General cargo ship,Cargo,,,98,-1,-1,-1,-1,-1,13,88.0,10.0,10.0,3.0,,9.592350220015796,4.9155327391026375,174.61811275339426,188.04001654819663,
273314540,9361976.0,,FAIR WIND,,General cargo ship,Cargo,,,90,-1,-1,-1,-1,-1,16,76.0,14.0,8.0,8.0,,8.717518390729772,3.43825271792201,76.0223292754378,75.195026365471,
250001723,9440241.0,,ARKLOW MANOR,,General cargo ship,Cargo,,,137,-1,-1,-1,-1,-1,21,116.0,21.0,10.0,11.0,,11.326663223140496,7.953254132231406,183.6712121212121,180.54460743801656,
305757000,9508421.0,,BBC KIBO,,General cargo ship,Cargo,,,126,-1,-1,-1,-1,-1,23,114.0,12.0,12.0,11.0,,11.048890860692103,6.503664596273291,188.321206743567,200.42976042590948,0.20595385980479144
620604000,8024155.0,,NOBLE 1,,General cargo ship,Cargo,,,92,-1,-1,-1,-1,-1,16,85.0,7.0,9.0,7.0,,8.717507951873875,4.1000000000000005,254.27312958097082,242.8331627714009,
414718000,9663702.0,,QING FENG LING,,General cargo ship,Cargo,,,180,-1,-1,-1,-1,-1,29,153.0,27.0,12.0,17.0,,12.189096880131364,8.57766830870279,172.91937602627257,176.6199014778325,
311000207,9151395.0,,MACHITIS,,General cargo ship,Cargo,,,149,-1,-1,-1,-1,-1,24,121.0,28.0,11.0,13.0,,10.576760378349974,6.94776668418287,171.88715186547557,170.28104308985812,
219864000,9778818.0,,MOSCOW MAERSK,,General cargo ship,Cargo,,,399,-1,-1,-1,-1,-1,58,116.0,283.0,29.0,29.0,,15.670863803815912,11.262462198273491,170.5631495023918,170.50466267113873,
240988000,9494137.0,,DIAMANTINA,,General cargo ship,Cargo,,,229,-1,-1,-1,-1,-1,32,200.0,29.0,16.0,16.0,,9.496061586522368,14.552471270779872,168.04217337944885,167.40403882628587,
