mmsi,imo_from_data_set,imo_from_ship_db,name_from_data_set,name_from_ship_db,iwrap_type_from_dataset,org_type_info_from_data,iwrap_type_from_ship_db,org_type_from_ship_db,length_from_data_set,length_from_ship_db,height_1,height_2,height_3,depth,width,size_a,size_b,size_c,size_d,class_b,mean_speed,mean_draught,mean_heading,mean_course,mean_ROT
211260260,9158472,0,BUGSIER 19,,Support ship,Tug,,,31,-1,-1,-1,-1,-1,11,13,18,4,7,0,7.0522946460301705,5.157540776687132,168.47852407386983,174.44380108574438,0.0
377025000,8518168,0,RADUGA EUROPE,,Support ship,Tug,,,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2.59654826812059,5.487872835150737,0.0,165.10615378447721,0.0
245168000,9466271,0,SEA ALFA,,Support ship,Tug,,,30,-1,-1,-1,-1,-1,9,15,15,5,4,0,7.225518925518926,3.1308119658119664,206.19285714285715,207.66104395604398,0.0
219011021,0,0,DANASUND,,Support ship,Towing,,,16,-1,-1,-1,-1,-1,6,3,13,3,3,0,2.255930882971596,1.895855471245384,252.14982627257288,169.23946339259282,0.0
219001262,6825581,0,PETER MADSEN,,Support ship,Dredging,,,33,-1,-1,-1,-1,-1,8,23,10,5,3,0,6.110025583626479,1.9916853213943075,158.5122055217994,157.40599083253386,0.0
245932000,9507063,0,GINGER,,Support ship,Tug,,,33,-1,-1,-1,-1,-1,13,10,23,6,7,0,7.138593987823439,5.852292617960426,182.38603500761036,179.67142313546424,0.0
211222890,6826858,0,ENAK,,Support ship,Towing,,,55,-1,-1,-1,-1,-1,25,30,25,11,14,0,4.97304515713826,2.541714040544889,134.222567842969,199.06434624048052,0.0
211366340,6923888,0,MISTRAL,,Support ship,Tug,,,33,-1,-1,-1,-1,-1,10,10,23,5,5,0,6.140560578661845,4.466699819168174,206.83227848101265,202.91526220614827,0.0
218767000,9036260,0,WOLF,,Support ship,Tug,,,32,-1,-1,-1,-1,-1,8,7,25,3,5,0,6.369249787377123,5.1865365216875325,209.4781740145177,197.22890484384584,0.06264562194663663
211207100,9036258,0,WAL,,Support ship,Tug,,,32,-1,-1,-1,-1,-1,10,10,22,8,2,0,4.37647638098169,5.0815540852438845,133.8721341744884,128.3846561009386,0.0
219018833,9681596,0,AURORA,,Support ship,Dredging,,,30,-1,-1,-1,-1,-1,8,10,20,4,4,0,6.417263753981675,3.414345825632152,169.08010539148216,165.45574737504424,0.0
228056800,9751456,0,ROXANE Z,,Support ship,Tug,,,34,-1,-1,-1,-1,-1,13,17,17,3,10,0,7.038109146810147,3.1916372021521906,255.69377401998463,256.56910069177553,0.0
