"mmsi"	"imo_from_data_set"	"imo_from_ship_db"	"name_from_data_set"	"name_from_ship_db"	"iwrap_type_from_dataset"	"org_type_info_from_data"	"iwrap_type_from_ship_db"	"org_type_from_ship_db"	"length_from_data_set"	"length_from_ship_db"	"height_1"	"height_2"	"height_3"	"depth"	"width"	"size_a"	"size_b"	"size_c"	"size_d"	"class_b"
211546740	0	0	""	""	"Other ship"	"Undefined"	""	""	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
577167000	5040500	0	"KREBS RESEARCH"	""	"Other ship"	"Spare 1"	""	""	51	-1	-1	-1	-1	-1	9	23	28	7	2	0
211333700	9212345	0	"FINJA"	""	"Oil products tanker"	"Tanker"	""	""	68	-1	-1	-1	-1	-1	12	58	10	7	5	0
992111842	0	0	"WIND FARM BALTIC1NE"	""	"Other ship"	"Undefined"	""	""	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
211266470	8918590	0	"AXEL"	""	"Support ship"	"Tug"	""	""	29	-1	-1	-1	-1	-1	10	10	19	4	6	0
211215210	5302063	0	"BALTICA"	""	"Passenger ship"	"Passenger"	""	""	49	-1	-1	-1	-1	-1	8	39	10	4	4	0
211543850	0	0	"RIVER STAR"	""	"Passenger ship"	"Passenger"	""	""	33	-1	-1	-1	-1	-1	8	6	27	3	5	0
636017036	9762912	0	"TRAMMO LAOURA"	""	"General cargo ship"	"Cargo"	""	""	189	-1	-1	-1	-1	-1	32	165	24	8	24	0
211549170	0	0	"WARNOWSTAR"	""	"Passenger ship"	"Passenger"	""	""	24	-1	-1	-1	-1	-1	7	20	4	2	5	0
219005465	36	0	"SERVUS I PILOT BOAT"	""	"Support ship"	"Pilot"	""	""	17	-1	-1	-1	-1	-1	4	8	9	2	2	0
304877000	9213894	0	"EMSMOON"	""	"General cargo ship"	"Cargo"	""	""	112	-1	-1	-1	-1	-1	15	101	11	4	11	0
244847000	9411771	0	"ZEELAND"	""	"General cargo ship"	"Cargo"	""	""	89	-1	-1	-1	-1	-1	12	79	10	6	6	0
355524000	9402938	0	"IKAN BAGANG"	""	"General cargo ship"	"Cargo"	""	""	229	-1	-1	-1	-1	-1	32	200	29	10	22	0
250005054	9504126	0	"ARKLOW DALE"	""	"General cargo ship"	"Cargo"	""	""	133	-1	-1	-1	-1	-1	16	108	25	8	8	0
211189000	8705383	0	"SASSNITZ"	""	"Passenger ship"	"Passenger"	""	""	172	-1	-1	-1	-1	-1	26	21	151	4	22	0
230915000	9160774	0	"BORE BANK"	""	"General cargo ship"	"Cargo"	""	""	139	-1	-1	-1	-1	-1	24	23	116	12	12	0
248659000	9745500	0	"CMA CGM PREGOLIA"	""	"General cargo ship"	"Cargo"	""	""	195	-1	-1	-1	-1	-1	32	183	12	30	2	0
219083000	9221267	0	"TERNVIK"	""	"Oil products tanker"	"Tanker"	""	""	141	-1	-1	-1	-1	-1	22	115	26	11	11	0
