length_from_data_set,width,iwrap_type_from_dataset,mean_speed,top_speed,std_speed,Speed_mode,Speed_median,ROT_mean,ROT_max,ROT_median,ROT_min,ROT_mode
161,25,General cargo ship,12.867464574801486,19.8,4.410390326125514,16,12.6,-0.06706401850890516,51.6,-1.0,-51.6,-1.0
166,25,General cargo ship,10.677090943148825,19.6,3.656250144857709,10,10.8,-0.16804090355649784,64.5,-1.0,-51.6,1.0
178,27,General cargo ship,15.020278489793506,21.6,3.5764614607929133,19,15.0,-0.009689617541811527,48.6,-1.0,-54.7,1.0
180,28,General cargo ship,9.879765044353872,11.7,0.5686308538059748,10,9.7,0.3386717813473987,27.9,1.0,-16.1,4.0
149,23,General cargo ship,12.915840640777436,19.1,4.372680111245296,16,14.8,-0.1103450632046464,78.7,-1.0,-64.5,1.0
120,21,General cargo ship,13.018978648170814,17.2,4.326744777688462,15,14.5,0.10012919896640828,40.2,1.0,-57.9,1.0
90,15,General cargo ship,9.567536429124527,13.2,2.80650114431233,11,10.3,0.13835089283619212,86.4,1.0,-90.4,3.0
132,19,Oil products tanker,11.890802738607455,16.6,3.3092824560556533,14,12.9,-1.0202600420841053,42.9,-2.0,-48.6,-8.0
119,13,General cargo ship,8.435993840985443,10.3,1.0030538313966777,8,8.5,0.006086226203807393,54.7,1.0,-42.9,1.0
88,14,General cargo ship,8.152355239855241,11.6,2.2904703505620967,9,8.8,0.02627627627627627,116.1,1.0,-94.5,2.0
218,26,General cargo ship,19.380660313661455,22.4,1.1333962978200889,20,19.5,-0.029807810166054844,27.9,-1.0,-27.9,-2.0
249,44,Oil products tanker,11.721858071505954,13.3,0.9831837289233828,12,12.0,-0.15736728060671726,21.6,-1.0,-21.6,-1.0
141,22,General cargo ship,14.84634209966957,19.3,4.194823833134507,17,16.4,0.06458232691155727,42.9,1.0,-40.2,1.0
81,12,General cargo ship,8.394352851250016,11.9,2.3745078750240234,10,9.3,-0.1131525191423187,64.5,1.0,-78.7,3.0
90,14,General cargo ship,8.46903062317082,10.5,1.8144856392714817,9,9.0,-0.07864230137768581,94.5,-1.0,-78.7,-3.0
250,44,Oil products tanker,11.909891031014247,13.0,0.8301524669377301,12,12.1,0.5271863649063984,27.9,1.0,-30.2,1.0
183,27,Oil products tanker,3.9698376015849095,77.2,5.694587496179893,0,0.0,3.9269354392179117e-07,0.2,0.0,0.0,0.0
159,25,Oil products tanker,14.77078078564867,18.6,2.014205438641948,15,15.2,0.2691111471335171,42.9,1.0,-32.5,-1.0
110,16,General cargo ship,9.974174060789128,11.8,2.0155581498054183,10,10.5,-0.10050972248442512,90.4,1.0,-78.7,1.0
253,44,Oil products tanker,11.540406512022448,16.5,1.6503131991525828,12,11.8,0.004391373854034128,25.7,1.0,-25.7,-1.0
205,29,General cargo ship,18.279632909993232,22.4,1.7027062228525427,18,18.4,-0.05342928160667064,35.0,-1.0,-35.0,-2.0
218,27,General cargo ship,16.002995036796165,20.6,5.791155344608097,19,18.6,-0.5509541331507786,30.2,-1.0,-48.6,-4.0
136,21,Oil products tanker,11.407896865193619,16.4,3.104905413516497,12,12.4,0.02970867975801495,82.5,1.0,-75.0,4.0
170,24,General cargo ship,12.791377726499743,51.2,4.200540904515501,14,14.2,2.18721463684035e-06,0.4,0.0,0.0,0.0
142,20,General cargo ship,12.01335455270475,18.5,4.534396291756403,16,13.1,4.3109332451986986e-06,0.4,0.0,0.0,0.0
161,25,General cargo ship,12.202708032490973,69.2,3.9270595591570086,8,12.2,0.08486326714801444,64.5,1.0,-48.6,2.0
400,59,General cargo ship,16.31824098025868,20.6,3.0081512105740558,18,17.2,0.11383798502382575,21.6,-1.0,-25.7,-1.0
179,30,General cargo ship,11.606631275868276,14.5,1.4281760983725404,12,12.1,0.2144952312398776,30.2,1.0,-30.2,1.0
154,22,General cargo ship,13.738233096577805,18.9,4.234085183212382,16,15.3,0.0016516004058666175,30.2,1.0,-35.0,-1.0
94,12,Oil products tanker,9.63178449453552,51.2,2.8755639693596615,11,10.7,6.830601092896175e-06,0.4,0.0,0.0,0.0
122,16,General cargo ship,12.727068595102164,16.3,3.3828896938072366,14,14.0,0.024715386211373855,82.5,1.0,-67.9,1.0
168,24,General cargo ship,14.395807651036856,18.2,1.4955016372007048,14,14.4,0.01840890375065509,57.9,-1.0,-48.6,-2.0
104,17,Oil products tanker,11.754580743157716,15.9,4.212111502077628,14,14.0,0.01254535737391352,48.6,1.0,-35.0,-2.0
