mmsi,imo_from_data_set,imo_from_ship_db,name_from_data_set,name_from_ship_db,iwrap_type_from_dataset,org_type_info_from_data,iwrap_type_from_ship_db,org_type_from_ship_db,length_from_data_set,length_from_ship_db,height_1,height_2,height_3,depth,width,size_a,size_b,size_c,size_d,class_b,mean_speed,top_speed,std_speed,ROT_mean,ROT_max,ROT_median,ROT_min,Speed_median,length/width
212694000,8818623,0,TANJA,,General cargo ship,Cargo,,,83,-1,-1,-1,-1,-1,13,71,12,7,6,0,8.912301722096984,13.3,2.4915565990694235,-0.0861460231191263,86.4,0.0,-94.5,9.6,6.384615384615385
231355000,9306005,0,ARNARFELL,,General cargo ship,Cargo,,,138,-1,-1,-1,-1,-1,22,130,8,12,10,0,13.436284754618402,18.9,5.447921676934719,-0.3307520059712632,37.5,0.0,-40.2,16.7,6.2727272727272725
215193000,9506693,0,GOLD POINT,,Oil products tanker,Tanker,,,183,-1,-1,-1,-1,-1,32,149,34,16,16,0,11.071682075753056,12.7,1.690554203866182,0.28094243960632265,40.2,0.0,-42.9,11.6,5.71875
230204000,8820860,0,EXPORTER,,General cargo ship,Cargo,,,122,-1,-1,-1,-1,-1,20,102,20,10,10,0,13.884978621164146,62.6,3.2988561815765296,1.4408650954032802e-06,0.2,0.0,0.0,15.1,6.1
212787000,9504059,0,WES AMELIE,,General cargo ship,Cargo,,,153,-1,-1,-1,-1,-1,24,141,12,12,12,0,13.837740419630025,51.2,4.5328225238482664,1.2666164242151728e-06,0.4,0.0,0.0,15.7,6.375
212172000,9179995,0,NECKAR HIGHWAY,,General cargo ship,Cargo,,,100,-1,-1,-1,-1,-1,20,74,26,10,10,0,13.119946340910671,17.7,4.065208977647773,-0.002416121120407632,98.6,0.0,-57.9,14.8,5.0
219018272,9308900,0,PACIFIC,,Oil products tanker,Tanker,,,115,-1,-1,-1,-1,-1,17,91,24,9,8,0,11.49333913333651,15.8,3.6188119212824335,-0.15955332030318922,98.6,0.0,-90.4,12.7,6.764705882352941
354552000,9774264,0,NAVIOS CORAL,,General cargo ship,Cargo,,,229,-1,-1,-1,-1,-1,35,195,34,24,11,0,3.056522260890436,12.9,5.214176616097683,0.2404176167046682,23.6,0.0,-10.0,0.0,6.542857142857143
235059487,9357597,0,CORONA SEA,,General cargo ship,Cargo,,,187,-1,-1,-1,-1,-1,26,26,161,13,13,0,18.40801815901081,96.0,1.236178542591177,-0.010000119467176391,42.9,0.0,-64.5,18.4,7.1923076923076925
211202400,8504208,0,FREDO,,General cargo ship,Cargo,,,82,-1,-1,-1,-1,-1,11,64,18,8,3,0,7.5396309796721015,11.4,2.356275146882501,0.006154322530176763,111.6,0.0,-107.2,8.3,7.454545454545454
311564000,9146120,0,CEMBAY,,General cargo ship,Cargo,,,130,-1,-1,-1,-1,-1,19,113,17,11,8,0,5.811111111111113,12.5,4.948107299650986,0.8364652501106684,57.9,0.0,-32.5,6.9,6.842105263157895
241604000,9787182,0,MINERVA ZENOBIA,,Oil products tanker,Tanker,,,250,-1,-1,-1,-1,-1,44,214,36,28,16,0,10.81639937920331,13.0,1.7727175632376937,0.051448525607863435,27.9,0.0,-23.6,11.5,5.681818181818182
218779000,9628489,0,ANNIKA,,Oil products tanker,Tanker,,,73,-1,-1,-1,-1,-1,12,57,16,4,8,0,7.474076073213903,13.4,4.077909752700212,0.020152464128947757,166.1,0.0,-231.4,9.3,6.083333333333333
235090537,9204790,0,TIMBERLAND,,General cargo ship,Cargo,,,153,-1,-1,-1,-1,-1,23,137,16,13,10,0,12.69995171181612,15.3,0.9136147460377924,0.25444975614467136,45.7,0.0,-45.7,12.7,6.6521739130434785
246629000,9508794,0,AMELAND,,General cargo ship,Cargo,,,122,-1,-1,-1,-1,-1,16,110,12,8,8,0,11.563167855444606,15.8,4.027953569628188,0.06986019971469329,42.9,0.0,-42.9,13.2,7.625
244826000,9081332,0,ELANDSGRACHT,,General cargo ship,Cargo,,,137,-1,-1,-1,-1,-1,18,126,11,9,9,0,12.403452419096446,14.7,2.4523970881709043,0.06457065043255368,40.2,0.0,-45.7,12.7,7.611111111111111
255806192,9327047,0,AGNES ESSBERGER,,Oil products tanker,Tanker,,,126,-1,-1,-1,-1,-1,19,110,16,9,10,0,10.73899047531404,14.4,2.8810171792711667,-0.002564763263240234,61.1,0.0,-42.9,11.7,6.631578947368421
230643000,9212644,0,FINNPULP,,General cargo ship,Cargo,,,187,-1,-1,-1,-1,-1,27,20,167,9,18,0,14.978633831173726,51.4,6.670394549304635,-0.001383323868938651,0.4,0.0,-697.5,18.0,6.925925925925926
211225390,0,0,SUEDWIND,,Fishing ship,Fishing,,,24,-1,-1,-1,-1,-1,7,7,17,2,5,0,0.8197923381677776,89.8,2.304000161980796,-0.0015475756032857027,0.2,0.0,-708.7,0.0,3.4285714285714284
230985000,9354337,0,AILA,,General cargo ship,Cargo,,,141,-1,-1,-1,-1,-1,22,132,9,11,11,0,14.029042115590599,18.6,3.960030880159444,0.0861119362010459,51.6,0.0,-54.7,15.4,6.409090909090909
255805908,9736377,0,AUTO ENERGY,,General cargo ship,Cargo,,,181,-1,-1,-1,-1,-1,32,31,150,15,17,0,16.995012059379707,25.6,1.0516314331613217,-0.020165774008356643,25.7,0.0,-27.9,17.0,5.65625
236668000,9020429,0,KEY WEST,,Oil products tanker,Tanker,,,90,-1,-1,-1,-1,-1,14,74,16,10,4,0,12.208905248159585,15.3,2.85134981675781,0.6583630174938652,511.1,0.0,-251.1,13.1,6.428571428571429
538090304,9344722,0,VALENTINA,,General cargo ship,Cargo,,,179,-1,-1,-1,-1,-1,28,160,19,25,3,0,16.26331134403709,21.8,2.496925111419784,0.09905036268263158,67.9,0.0,-51.6,17.0,6.392857142857143
310132000,9108128,0,LISBON EXPRESS,,General cargo ship,Cargo,,,216,-1,-1,-1,-1,-1,33,161,55,24,9,0,16.917959609201215,21.9,1.5678812243405875,1.0322207713785823e-06,0.2,0.0,0.0,17.2,6.545454545454546
220498000,9322712,0,BRO NORDBY,,Oil products tanker,Tanker,,,144,-1,-1,-1,-1,-1,23,110,34,12,11,0,7.137024707797012,12.6,4.553268673595809,0.01927060216008285,40.2,0.0,-30.2,7.7,6.260869565217392
230632000,9468932,0,FINNWAVE,,General cargo ship,Cargo,,,218,-1,-1,-1,-1,-1,27,14,204,7,20,0,18.95191232154097,21.7,1.3353729350457617,-0.04310870890072232,35.0,0.0,-51.6,19.2,8.074074074074074
538008094,9459400,0,HANSA ASIA,,General cargo ship,Cargo,,,240,-1,-1,-1,-1,-1,32,185,55,21,11,0,17.76264694420991,21.4,1.719083952399169,-0.014158602325128304,48.6,0.0,-48.6,18.3,7.5
255805884,9386718,0,NAVI BALTIC,,General cargo ship,Cargo,,,168,-1,-1,-1,-1,-1,25,153,15,15,10,0,13.28216910813704,76.8,4.389301274193763,0.00012296892348468016,45.7,0.0,-42.9,14.6,6.72
246555000,9341768,0,DOGGERSBANK,,General cargo ship,Cargo,,,111,-1,-1,-1,-1,-1,14,95,16,7,7,0,9.954560292552918,14.6,2.203334496353364,4.132103343904631e-06,0.4,0.0,0.0,10.4,7.928571428571429
211315100,9188518,0,CONTAINERSHIPS 6,,General cargo ship,Cargo,,,155,-1,-1,-1,-1,-1,22,141,14,21,1,0,16.525807633298285,76.8,3.211015559634048,0.2112211036218518,54.7,0.0,-51.6,17.4,7.045454545454546
636092478,9432232,0,CHARLOTTA B,,General cargo ship,Cargo,,,168,-1,-1,-1,-1,-1,27,157,11,23,4,0,12.554627676622765,22.7,4.942109743281689,0.04296027227911662,57.9,0.0,-45.7,13.4,6.222222222222222
273413060,9066045,0,SEG,,General cargo ship,Cargo,,,81,-1,-1,-1,-1,-1,11,70,11,5,6,0,9.244809652589973,11.1,1.6187733343140496,-0.049282296650717726,54.7,0.0,-98.6,9.6,7.363636363636363
235113758,9724544,0,BRITISH NIMBUS,,Oil products tanker,Tanker,,,183,-1,-1,-1,-1,-1,32,147,36,23,9,0,11.697757959868731,16.0,1.7731886078489134,0.20455422230015785,37.5,0.0,-48.6,11.9,5.71875
212068000,9371414,0,PERSEUS J,,General cargo ship,Cargo,,,140,-1,-1,-1,-1,-1,23,123,17,17,6,0,12.693368208272247,18.6,4.201053889303426,-0.05098071882358169,64.5,0.0,-51.6,13.5,6.086956521739131
538003352,9397327,0,AL KHARAITIYAT,,Oil products tanker,Tanker,,,315,-1,-1,-1,-1,-1,50,250,65,35,15,0,15.780362641122133,19.8,2.016003951697825,-0.007594936708860749,25.7,0.0,-23.6,16.0,6.3
304059000,9576703,0,LONGBAY,,General cargo ship,Cargo,,,90,-1,-1,-1,-1,-1,14,76,14,2,12,0,8.971321943048576,10.9,1.074242174309978,-0.031702512562814075,90.4,0.0,-98.6,9.1,6.428571428571429
255805989,9552020,0,COSTAMAR,,General cargo ship,Cargo,,,100,-1,-1,-1,-1,-1,14,84,16,7,7,0,9.075867970660148,32.0,1.5586055863459138,6.519967400162999e-06,0.2,0.0,0.0,9.4,7.142857142857143
566579000,9725639,0,HAFNIA SUNDA,,Oil products tanker,Tanker,,,184,-1,-1,-1,-1,-1,28,149,35,22,6,0,11.997705738632979,63.4,1.875341669166384,0.16988707466777905,51.6,0.0,-48.6,12.3,6.571428571428571
235012220,9350771,0,FEMBRIA,,General cargo ship,Cargo,,,117,-1,-1,-1,-1,-1,17,99,18,12,5,0,10.424025519457793,13.7,2.6425501167105816,0.000819359149775663,67.9,0.0,-51.6,11.0,6.882352941176471
231251000,9126625,0,HAV STREYM,,General cargo ship,Cargo,,,83,-1,-1,-1,-1,-1,13,70,13,2,11,0,9.760885392202912,11.0,0.6332535755249896,-0.07224048849224987,42.9,0.0,-37.5,9.9,6.384615384615385
245547000,9613630,0,EEMS DOVER,,General cargo ship,Cargo,,,108,-1,-1,-1,-1,-1,16,14,94,8,8,0,7.675953062058497,12.2,3.0990108290250373,-0.027689882655146245,64.5,0.0,-40.2,9.3,6.75
219082000,9232955,0,TERNHAV,,Oil products tanker,Tanker,,,141,-1,-1,-1,-1,-1,22,115,26,19,3,0,11.287335150033964,14.8,2.094245178781113,-0.19596708075989105,51.6,0.0,-54.7,11.6,6.409090909090909
235060989,9357602,0,HAFNIA SEA,,General cargo ship,Cargo,,,187,-1,-1,-1,-1,-1,31,28,159,16,15,0,17.9398170160146,83.2,1.594027932765071,-0.013987942879449829,40.2,0.0,-54.7,18.1,6.032258064516129
256448000,9476824,0,HAFNIA LEO,,Oil products tanker,Tanker,,,183,-1,-1,-1,-1,-1,32,146,37,6,26,0,12.491530718500526,14.5,1.2546404627659344,0.38615064213814654,42.9,0.0,-40.2,12.5,5.71875
357100000,9404338,0,LUCKY SUNDAY,,General cargo ship,Cargo,,,229,-1,-1,-1,-1,-1,32,199,30,17,15,0,9.967627753303963,13.1,2.820435993447234,0.1120440528634361,35.0,0.0,-37.5,10.7,7.15625
212733000,9313216,0,BALTIC PETREL,,General cargo ship,Cargo,,,169,-1,-1,-1,-1,-1,27,161,8,15,12,0,12.984983866051435,21.0,4.283301810247695,-0.03871989993798678,48.6,0.0,-48.6,14.7,6.2592592592592595
304903000,9306835,0,MAGNUS F,,General cargo ship,Cargo,,,147,-1,-1,-1,-1,-1,23,135,12,10,13,0,12.194285358344159,70.5,4.983500317566727,-0.05181263236576555,54.7,0.0,-67.9,13.8,6.391304347826087
636016892,9670755,0,VENTURE HARMONY,,General cargo ship,Cargo,,,190,-1,-1,-1,-1,-1,30,163,27,12,18,0,11.61550110928909,13.2,0.7067942216428743,0.10081026333558406,30.2,0.0,-35.0,11.7,6.333333333333333
374423000,9728136,0,LOWLANDS COMFORT,,General cargo ship,Cargo,,,229,-1,-1,-1,-1,-1,32,202,27,21,11,0,10.542002442002444,13.6,2.344930586976313,0.3352380952380953,27.9,0.0,-27.9,11.6,7.15625
236300000,9256327,0,SUEDEROOG,,General cargo ship,Cargo,,,161,-1,-1,-1,-1,-1,25,141,20,12,13,0,12.867464574801486,19.8,4.410390326125514,-0.06706401850890516,51.6,0.0,-51.6,12.6,6.44
235011610,9306079,0,ADELINA D,,General cargo ship,Cargo,,,166,-1,-1,-1,-1,-1,25,152,14,10,15,0,10.677090943148825,19.6,3.656250144857709,-0.16804090355649784,64.5,0.0,-51.6,10.8,6.64
538090271,9344710,0,VIOLETTA,,General cargo ship,Cargo,,,178,-1,-1,-1,-1,-1,27,139,39,14,13,0,15.020278489793506,21.6,3.5764614607929133,-0.009689617541811529,48.6,0.0,-54.7,15.0,6.592592592592593
311042700,9437529,0,ST PETER,,General cargo ship,Cargo,,,180,-1,-1,-1,-1,-1,28,152,28,6,22,0,9.879765044353872,11.7,0.5686308538059748,0.3386717813473987,27.9,0.0,-16.1,9.7,6.428571428571429
255805899,9354351,0,ANINA,,General cargo ship,Cargo,,,149,-1,-1,-1,-1,-1,23,139,10,13,10,0,12.915840640777436,19.1,4.372680111245296,-0.1103450632046464,78.7,0.0,-64.5,14.8,6.478260869565218
304479000,9266308,0,BBC EUROPE,,General cargo ship,Cargo,,,120,-1,-1,-1,-1,-1,21,108,12,5,16,0,13.018978648170814,17.2,4.326744777688462,0.10012919896640828,40.2,0.0,-57.9,14.5,5.714285714285714
246613000,9374715,0,BERTHOLD K.,,General cargo ship,Cargo,,,90,-1,-1,-1,-1,-1,15,80,10,5,10,0,9.567536429124527,13.2,2.80650114431233,0.13835089283619212,86.4,0.0,-90.4,10.3,6.0
249598000,9447067,0,SELENKA,,Oil products tanker,Tanker,,,132,-1,-1,-1,-1,-1,19,104,28,16,3,0,11.890802738607455,16.6,3.3092824560556533,-1.0202600420841053,42.9,-1.1,-48.6,12.9,6.947368421052632
273454300,8702252,0,SORMOVSKIY 3064,,General cargo ship,Cargo,,,119,-1,-1,-1,-1,-1,13,94,25,13,0,0,8.435993840985443,10.3,1.0030538313966777,0.006086226203807393,54.7,0.0,-42.9,8.5,9.153846153846153
244710969,9760392,0,LADY ANNE-LYNN,,General cargo ship,Cargo,,,88,-1,-1,-1,-1,-1,14,75,13,6,8,0,8.152355239855241,11.6,2.2904703505620967,0.02627627627627627,116.1,0.0,-94.5,8.8,6.285714285714286
230631000,9468920,0,FINNTIDE,,General cargo ship,Cargo,,,218,-1,-1,-1,-1,-1,26,15,203,5,21,0,19.380660313661455,22.4,1.1333962978200889,-0.029807810166054844,27.9,0.0,-27.9,19.5,8.384615384615385
248902000,9379612,0,FOS DA VINCI,,Oil products tanker,Tanker,,,249,-1,-1,-1,-1,-1,44,208,41,27,17,0,11.721858071505954,13.3,0.9831837289233828,-0.15736728060671726,21.6,0.0,-21.6,12.0,5.659090909090909
255805843,9328053,0,MUSIC,,General cargo ship,Cargo,,,141,-1,-1,-1,-1,-1,22,134,7,13,9,0,14.84634209966957,19.3,4.194823833134507,0.06458232691155727,42.9,0.0,-40.2,16.4,6.409090909090909
218814000,9066069,0,LILY-B,,General cargo ship,Cargo,,,81,-1,-1,-1,-1,-1,12,73,8,4,8,0,8.394352851250016,11.9,2.3745078750240234,-0.1131525191423187,64.5,0.0,-78.7,9.3,6.75
304060000,9518426,0,LONGBEACH,,General cargo ship,Cargo,,,90,-1,-1,-1,-1,-1,14,75,15,3,11,0,8.46903062317082,10.5,1.8144856392714817,-0.07864230137768581,94.5,0.0,-78.7,9.0,6.428571428571429
538007848,9829899,0,NAVIG8 PRIDE_LHJ,,Oil products tanker,Tanker,,,250,-1,-1,-1,-1,-1,44,212,38,29,15,0,11.909891031014247,13.0,0.8301524669377301,0.5271863649063984,27.9,0.0,-30.2,12.1,5.681818181818182
538007532,9327384,0,ADVANTAGE POINT,,Oil products tanker,Tanker,,,183,-1,-1,-1,-1,-1,27,149,34,22,5,0,3.9698376015849095,77.2,5.694587496179893,3.9269354392179117e-07,0.2,0.0,0.0,0.0,6.777777777777778
636015736,9655509,0,SIBUR VORONEZH,,Oil products tanker,Tanker,,,159,-1,-1,-1,-1,-1,25,125,34,10,15,0,14.77078078564867,18.6,2.014205438641948,0.2691111471335171,42.9,0.0,-32.5,15.2,6.36
235077805,9523964,0,KATE C,,General cargo ship,Cargo,,,110,-1,-1,-1,-1,-1,16,92,18,7,9,0,9.974174060789128,11.8,2.0155581498054183,-0.10050972248442512,90.4,0.0,-78.7,10.5,6.875
248993000,9309435,0,MINERVA ALICE,,Oil products tanker,Tanker,,,253,-1,-1,-1,-1,-1,44,209,44,24,20,0,11.540406512022448,16.5,1.6503131991525828,0.004391373854034128,25.7,0.0,-25.7,11.8,5.75
244519000,9307372,0,GENCA,,General cargo ship,Cargo,,,205,-1,-1,-1,-1,-1,29,144,61,16,13,0,18.279632909993232,22.4,1.7027062228525427,-0.05342928160667064,35.0,0.0,-35.0,18.4,7.068965517241379
230618000,9468891,0,FINNSEA,,General cargo ship,Cargo,,,218,-1,-1,-1,-1,-1,27,21,197,5,22,0,16.002995036796165,20.6,5.791155344608097,-0.5509541331507786,30.2,0.0,-48.6,18.6,8.074074074074074
247604000,9220354,0,TURCHESE,,Oil products tanker,Tanker,,,136,-1,-1,-1,-1,-1,21,105,31,12,9,0,11.407896865193619,16.4,3.104905413516497,0.02970867975801495,82.5,0.0,-75.0,12.4,6.476190476190476
265411000,9087350,0,SCA OBBOLA,,General cargo ship,Cargo,,,170,-1,-1,-1,-1,-1,24,124,46,13,11,0,12.791377726499743,51.2,4.200540904515501,2.18721463684035e-06,0.4,0.0,0.0,14.2,7.083333333333333
229630000,9365960,0,X-PRESS MULHACEN,,General cargo ship,Cargo,,,142,-1,-1,-1,-1,-1,20,133,9,11,9,0,12.01335455270475,18.5,4.534396291756403,4.3109332451986986e-06,0.4,0.0,0.0,13.1,7.1
636091854,9358905,0,HELUAN,,General cargo ship,Cargo,,,161,-1,-1,-1,-1,-1,25,146,15,20,5,0,12.202708032490973,69.2,3.927059559157009,0.08486326714801444,64.5,0.0,-48.6,12.2,6.44
477035800,9776183,0,OOCL GERMANY,,General cargo ship,Cargo,,,400,-1,-1,-1,-1,-1,59,146,254,23,36,0,16.31824098025868,20.6,3.008151210574056,0.11383798502382575,21.6,0.0,-25.7,17.2,6.779661016949152
538008088,9609665,0,FEDERAL YAMASKA,,General cargo ship,Cargo,,,179,-1,-1,-1,-1,-1,30,151,28,15,15,0,11.606631275868276,14.5,1.4281760983725404,0.2144952312398776,30.2,0.0,-30.2,12.1,5.966666666666667
245656000,9267728,0,BOTHNIABORG,,General cargo ship,Cargo,,,154,-1,-1,-1,-1,-1,22,15,139,11,11,0,13.738233096577805,18.9,4.234085183212382,0.0016516004058666175,30.2,0.0,-35.0,15.3,7.0
212947000,9156981,0,ROSSINI,,Oil products tanker,Tanker,,,94,-1,-1,-1,-1,-1,12,77,17,8,4,0,9.63178449453552,51.2,2.875563969359661,6.830601092896175e-06,0.4,0.0,0.0,10.7,7.833333333333333
246630000,9508809,0,SKYLGE,,General cargo ship,Cargo,,,122,-1,-1,-1,-1,-1,16,110,12,8,8,0,12.727068595102164,16.3,3.3828896938072366,0.024715386211373855,82.5,0.0,-67.9,14.0,7.625
246456000,9197947,0,SLOTERGRACHT,,General cargo ship,Cargo,,,168,-1,-1,-1,-1,-1,24,154,14,12,12,0,14.395807651036856,18.2,1.4955016372007048,0.01840890375065509,57.9,0.0,-48.6,14.4,7.0
209221000,9684122,0,TRAVIATA,,Oil products tanker,Tanker,,,104,-1,-1,-1,-1,-1,17,80,24,15,2,0,11.754580743157716,15.9,4.212111502077628,0.01254535737391352,48.6,0.0,-35.0,14.0,6.117647058823529
566414000,9645413,0,SPIRIT II,,Oil products tanker,Tanker,,,252,-1,-1,-1,-1,-1,45,210,42,14,31,0,11.30245028221765,13.3,1.1462459310112163,0.002951416363348633,19.7,0.0,-35.0,11.6,5.6
353163000,9431185,0,,,General cargo ship,Cargo,,,245,-1,-1,-1,-1,-1,43,212,33,17,26,0,10.958398468655288,14.0,1.857288955815568,0.036201946083904916,21.6,0.0,-23.6,11.5,5.6976744186046515
247698000,9114969,0,SAPPHIRE,,Oil products tanker,Tanker,,,142,-1,-1,-1,-1,-1,22,115,27,11,11,0,11.220347221774533,14.7,2.7942248596345496,0.0212974722306388,57.9,0.0,-86.4,11.9,6.454545454545454
210169000,9584865,0,KATHARINA SCHEPERS,,General cargo ship,Cargo,,,152,-1,-1,-1,-1,-1,24,143,9,13,11,0,13.062027658334248,51.2,4.382627690469045,1.689574480667044e-06,0.2,0.0,0.0,14.6,6.333333333333333
236333000,9301122,0,HOOGE,,General cargo ship,Cargo,,,161,-1,-1,-1,-1,-1,25,138,23,18,7,0,11.711777778849076,20.1,5.129703041139499,0.08003355300265626,71.4,0.0,-54.7,12.1,6.44
305293000,9386988,0,PETKUM,,General cargo ship,Cargo,,,161,-1,-1,-1,-1,-1,25,140,21,13,12,0,12.208160671808884,20.4,5.1736949014675835,0.0235030699692305,54.7,0.0,-54.7,12.1,6.44
211845000,9336244,0,CONTAINERSHIPS 8,,General cargo ship,Cargo,,,154,-1,-1,-1,-1,-1,22,141,13,11,11,0,17.048535417612033,21.3,2.4358803305488745,0.40947834381337817,78.7,0.0,-64.5,17.7,7.0
218667000,9518232,0,ANDRE W,,General cargo ship,Cargo,,,100,-1,-1,-1,-1,-1,14,88,12,6,8,0,3.338170512820513,51.2,4.426901711681863,2.5641025641025644e-06,0.4,0.0,0.0,0.0,7.142857142857143
255805594,9454230,0,SVENDBORG,,General cargo ship,Cargo,,,158,-1,-1,-1,-1,-1,24,146,12,10,14,0,13.23553913152062,20.3,4.268955825548279,0.04896591015515251,54.7,0.0,-45.7,14.8,6.583333333333333
256398000,9291597,0,YM JUPITER,,Oil products tanker,Tanker,,,148,-1,-1,-1,-1,-1,21,123,25,2,19,0,10.056356602778266,12.8,3.285253820901365,-0.14155090557411634,42.9,0.0,-37.5,11.6,7.0476190476190474
311000335,9399492,0,CASCADE SPIRIT,,Oil products tanker,Tanker,,,275,-1,-1,-1,-1,-1,48,229,46,27,21,0,11.647162485065715,14.0,1.3663311399029796,0.20618279569892475,30.2,0.0,-35.0,12.1,5.729166666666667
219110000,9775751,0,VAYENGA MAERSK,,General cargo ship,Cargo,,,200,-1,-1,-1,-1,-1,36,161,39,18,18,0,15.358516673585164,20.2,2.4771508188995943,2.2139200221392e-06,0.4,0.0,0.0,15.8,5.555555555555555
249193000,9373632,0,M/T PATEA,,Oil products tanker,Tanker,,,144,-1,-1,-1,-1,-1,23,114,30,11,12,0,8.53956132814474,13.0,3.125432849651252,-0.013923282963561929,78.7,0.0,-51.6,9.9,6.260869565217392
218576000,9372274,0,THETIS D,,General cargo ship,Cargo,,,168,-1,-1,-1,-1,-1,27,153,15,15,12,0,13.78969968142214,20.0,4.4913253236710515,-0.07127919154699436,67.9,0.0,-61.1,14.9,6.222222222222222
538090268,9333395,0,VALDIVIA,,General cargo ship,Cargo,,,178,-1,-1,-1,-1,-1,28,160,18,24,4,0,15.447883451577734,21.8,3.278601979753532,0.03226175991909872,40.2,0.0,-51.6,15.1,6.357142857142857
477631300,9619878,0,TIGER NORTH,,General cargo ship,Cargo,,,225,-1,-1,-1,-1,-1,32,193,32,21,11,0,14.002632671212574,16.7,1.218938628408642,0.04513489475244591,27.9,0.0,-30.2,14.3,7.03125
305184000,8817370,0,ROSEBURG,,General cargo ship,Cargo,,,82,-1,-1,-1,-1,-1,12,70,12,8,4,0,9.366006527875793,12.4,1.9783885516399389,-0.011146788990825673,130.2,0.0,-90.4,9.8,6.833333333333333
266235000,9301873,0,FURE WEST,,Oil products tanker,Tanker,,,144,-1,-1,-1,-1,-1,22,120,24,5,17,0,11.352289430623735,17.1,3.086526281078644,-0.012078098566159138,25.7,0.0,-27.9,12.0,6.545454545454546
311771000,8822612,0,CEMI,,General cargo ship,Cargo,,,88,-1,-1,-1,-1,-1,13,72,16,8,5,0,6.798928510493089,51.2,3.415729594988896,6.824773929363591e-06,0.4,0.0,0.0,8.2,6.769230769230769
538005404,9691735,0,STI WEMBLEY,,Oil products tanker,Tanker,,,183,-1,-1,-1,-1,-1,27,149,34,21,6,0,11.585223763843715,16.0,2.2530010618219256,3.979853706067218e-05,2.9,0.0,0.0,12.0,6.777777777777778
