mmsi,imo_from_data_set,imo_from_ship_db,name_from_data_set,name_from_ship_db,iwrap_type_from_dataset,org_type_info_from_data,iwrap_type_from_ship_db,org_type_from_ship_db,length_from_data_set,length_from_ship_db,height_1,height_2,height_3,depth,width,size_a,size_b,size_c,size_d,class_b,mean_speed,top_speed,std_speed
538006112,9693812,0,SONGA FORTUNE,,Oil products tanker,Tanker,,,184,-1,-1,-1,-1,-1,32,152,32,16,16,0,11.835642458100558,13.8,1.0991184994931236
220225000,0,0,RI 428 NORDKYSTEN,,Fishing ship,Fishing,,,17,-1,-1,-1,-1,-1,6,14,3,3,3,0,3.2545961303871156,11.3,2.212188129357311
538006473,9671101,0,FEDERAL CEDAR,,General cargo ship,Cargo,,,200,-1,-1,-1,-1,-1,23,171,29,6,17,0,11.219630118890358,12.4,0.8061686529371183
235010100,9306665,0,OCEAN SPIRIT,,Oil products tanker,Tanker,,,171,-1,-1,-1,-1,-1,28,136,35,16,12,0,10.610198300283285,12.2,0.760656077366246
229611000,9674385,0,POLA MUROM,,General cargo ship,Cargo,,,180,-1,-1,-1,-1,-1,30,165,15,10,20,0,12.589782886334612,15.3,1.1756454008494381
305865000,9508471,0,BBC VESUVIUS,,General cargo ship,Cargo,,,126,-1,-1,-1,-1,-1,22,114,12,5,17,0,8.300569426193606,14.6,4.823534060467662
220234000,9130808,0,NORDIC NELLY,,Oil products tanker,Tanker,,,100,-1,-1,-1,-1,-1,16,89,11,13,3,0,9.334478630432182,12.5,2.415918974263167
538005422,9289752,0,RIVER SHINER,,Oil products tanker,Tanker,,,228,-1,-1,-1,-1,-1,32,189,39,10,22,0,12.220593970301485,14.5,1.1961912282436673
273332230,9407029,0,MODULUS 1,,General cargo ship,Cargo,,,90,-1,-1,-1,-1,-1,16,80,10,8,8,0,7.777950254827363,11.2,2.351876507549266
235113663,9411836,0,EASTERN VANQUISH,,General cargo ship,Cargo,,,89,-1,-1,-1,-1,-1,12,74,15,2,10,0,8.656878302654894,12.5,2.689582694719467
305654000,9328649,0,ALEXANDER B,,General cargo ship,Cargo,,,154,-1,-1,-1,-1,-1,24,140,14,12,12,0,13.3446279285788,18.3,3.329981062293739
259017000,9521356,0,HAGLAND CAPTAIN,,General cargo ship,Cargo,,,90,-1,-1,-1,-1,-1,14,83,7,3,11,0,10.973901639344263,13.0,1.0069327595106676
309841000,9008732,0,BALTIC PEARL,,General cargo ship,Cargo,,,150,-1,-1,-1,-1,-1,22,117,33,15,7,0,16.698822658535725,19.2,1.112227911123868
236006000,9187394,0,STENSTRAUM,,Oil products tanker,Tanker,,,145,-1,-1,-1,-1,-1,21,116,29,0,21,0,11.391773652617864,15.6,2.02149223919958
215114000,9255622,0,KELLY,,General cargo ship,Cargo,,,132,-1,-1,-1,-1,-1,16,120,12,6,10,0,11.044413543766948,13.8,1.2289990429177786
245072000,9421659,0,EEMS STAR,,General cargo ship,Cargo,,,88,-1,-1,-1,-1,-1,12,78,10,7,5,0,8.872682568392493,11.7,2.5512485844213315
538002777,9323352,0,UGALE,,Oil products tanker,Tanker,,,195,-1,-1,-1,-1,-1,32,164,31,24,8,0,11.973348492570665,15.0,1.7683181398063421
240147000,9276561,0,MINERVA HELEN,,Oil products tanker,Tanker,,,244,-1,-1,-1,-1,-1,42,186,58,33,9,0,11.011974415434624,13.8,1.301888030497614
538004486,9576777,0,INTREPID SEAHAWK,,Oil products tanker,Tanker,,,178,-1,-1,-1,-1,-1,28,139,39,5,23,0,11.919056453750331,14.3,2.704273739540985
244850612,9160346,0,VLISTBORG,,General cargo ship,Cargo,,,133,-1,-1,-1,-1,-1,16,120,13,10,6,0,11.434491381620077,13.5,1.697098890307059
538002019,8221363,0,DANAVIK,,General cargo ship,Cargo,,,104,-1,-1,-1,-1,-1,16,84,20,9,7,0,10.466240409207161,13.6,1.158406915625978
240906000,9408463,0,DELTA HARMONY,,Oil products tanker,Tanker,,,274,-1,-1,-1,-1,-1,48,230,44,32,16,0,11.966442953020135,14.0,1.151009885348781
253525000,9573074,0,WILLEM DE VLAMINGH,,General cargo ship,Cargo,,,115,-1,-1,-1,-1,-1,30,19,96,12,18,0,8.384650610583446,13.6,3.41924853432504
312495000,9000302,0,MY MERAY,,General cargo ship,Cargo,,,181,-1,-1,-1,-1,-1,31,150,31,15,16,0,10.62704678362573,13.2,0.8391701637979085
636015790,9642356,0,TRITON,,General cargo ship,Cargo,,,225,-1,-1,-1,-1,-1,32,192,33,14,18,0,9.936781745093404,11.2,0.6069292830938129
477595900,9548548,0,HONG YU,,General cargo ship,Cargo,,,225,-1,-1,-1,-1,-1,32,192,33,14,18,0,9.996450582058891,13.4,1.9069203239557595
370488000,9589619,0,HARUKA,,General cargo ship,Cargo,,,169,-1,-1,-1,-1,-1,27,144,25,19,8,0,10.420269259536276,12.7,2.869028097064503
248256000,9316804,0,SWEET LADY III,,General cargo ship,Cargo,,,190,-1,-1,-1,-1,-1,32,162,28,20,12,0,10.751732101616629,11.5,0.46719674093663044
255805470,9481001,0,ELSA ESSBERGER,,Oil products tanker,Tanker,,,99,-1,-1,-1,-1,-1,18,74,25,9,9,0,10.300693810867582,14.7,2.9047157868734548
266463000,9739824,0,THUN VENERN,,Oil products tanker,Tanker,,,150,-1,-1,-1,-1,-1,23,120,30,15,8,0,10.399469668775586,14.3,3.1178797897300186
